"study_alias","study_desc","nct_number"
"4195",RA PROBE STUDY,
H5Z-MC-LUAM,R-fluoxetine vs. Placebo and Venlafaxine in Treatment of GAD,
F1D-US-X164,Olz. in Treating Behavior Disturbances in Adolescents w/MR,
B9E-MC-V056,Gemcitabine andtemozolomide in human glioblastoma cells,
B1Y-SB-1015,FLUOX. VS. TRIMIPR. IN GERIATRIC DEPRESSED PATIENTS,
H6L-MC-LFAE,AD Bridging Study,
F1D-US-X170,An Open Lbl Study of Olz in the tx of beha lewy body dementi,
B1Y-SB-5009,FLUOXETINE40MG/NOMIFENSINE D.B. PAR. REACT.DEPR.,
H6D-MC-LVCO,Pivotal Study in Taiwan,
B9E-MC-S157,Ph III GET vs anthracycline -based therapy in breast cancer,
F3Z-SB-O028,Comparison of CT vs. ICT in patients with Type 2 diabetes,
F1D-PU-LOBB,Olanzapine in first psychotic epysode,
B1Y-CO-S007,treatment of premenstrual dysphoric disorder,
B1Y-BP-HC34,FLUOXETINE DEPRESSION WITH BIOLOGICAL MARKERS,
B9E-MC-S213,Ph II ALIMTA+Carbo->Cis+Gem->Taxol Consolidation in Ovarian,
"10629",Placeholder for local support Gemzar,
B9E-MC-V297,Gemcitabine resistance in gastrointestinal tumors,
B1Y-CA-P007,FLUOXETINE-COMPASSIONATE USE (OBSESSIVE COMPULSIVE DISORDER),
H6Q-MC-A016,Enz as a radiosensitizer,
H6D-US-LVHF,"Comparator - Efficacy of tadalafil, sildenafil, & vardenafil",
"10799",Placeholder...Abuse Liability Study,
F1J-US-HMEZ,"Gaba Non-Responder Switch to Dulox, Dulox Add on, or Pregab",
F1D-US-HGMO,Acute Study of Olanzapine in Mixed Bipolar Patients,
"10840",FHD trial for future cmpd FC000076,
B9E-MC-V332,Sensitivity to Gem centration changes of cellular (dCK),
F1D-VI-HGDQ,OLANZAPINE VERSUS CHLORPROMAZINE IN THE U.A.E.,
H3E-MC-V112,Evaluation therapy of meso for pem and anti-IGF,
H6Q-MC-A017,In vivo studies of enzastaurin in colon cancer model,
H6D-MC-LVHJ,Cialis Phase 3 BPH LUTS Study,
B9E-US-I157,PhI Study Gem in Bronchial Artery for NSCLC,
I1P-MC-JJAB,Phase I MAK (Solid Tumors),
H3E-SB-O021,pemetrexed in anthracycline/fosfamide-refract. pat.,
H8O-MC-A004,Exen as growth prom and anit-apop-IV/IV islet cells,
I4J-MC-A001,PTEN and PJ-3 kinase in the cancer stem cell com. of medullo,
H8L-MC-IQBN,BIV 80 KwikPen Formative #1,
B5K-US-V020,Qualification of ELISA assay specific for human insulin(bhi),
"15072",QTc Study,
"15077","Imaging DLB, PD, AD & Healthy Controls with FBP/AV133",
I5S-MC-EFJI,ASCVD/Diabetes,
I4D-MC-JTJC,Ph1b/II - Chk-1 Inhib II - relapsed AML,
"15123",Human C14,
F1J-MC-B052,Signal detection-SAEs in pts taking dulox and/or analgesics,
I3Y-MC-JPBG,CDK4/6 Dual Inh Food Effects in Healthy Subjects,
H6D-US-X013,PITCH 40 mg Tadalafil Adcirca,
H4Y-MC-LJAU,Moderate to severe - consistency of response - 4 migraines,
H8L-MC-IQCA,Auto-Injector Summative study for Ixekizumab and Tabalumab,
I4D-EW-JTJE,DDI study,
B9E-US-X460,PhII Gem+Oxaliplatin & Cetuximab/Gem/Oxa in Pancreatic Head,
I4W-FW-HMJD,SAD MAD CSF Ph I,
F1D-MC-HGMP,Japan Bipolar Depression,
B9E-MC-S216,"dFdCTP levels in tumor biops vs PMNCs, stand vs dose rate",
B1Y-SO-E067,FLUOXETINE CONTINUOUS THERAPY,
B1Y-BP-HC36,FLUOXETINE NEW ANTIDEPRESSANT IN PANIC STATES,
"4936",Monotherapy - HOE vs LY452504,
"4986",Multi-dose Safety Study (PK/PD),
B3N-VI-S001,Moxonidine in combination treatment of postmenopausal HTN,
"5036",Definitive Bioequivalence for Oral Liquid,
"5049",Japan FHD study,
F1D-MC-S013,Effect of Antipsychotic Therapy on Insulin Sensitivity,
B1Y-UT-0487,FLUOXETINE EFFECTS BODY WEIGHT & DIET COMPOSITION,
B3M-FW-AJBO,comparative PD study between cefaclor and augmentin,
H6E-MC-GLAQ,met+pio vs met + SU,
F1D-SB-O099,Potency of Olanzapine vs. Typical NL to improve facial expre,
B9E-MC-V102,Invest Gem pharmacokinetics in rat brain,
"5399",Affiliate Commercialization Trial,
"5411", Phase II Efficacy Trial for Type 2 Diabetes,
I7J-EW-BCGA,SAD HV,
H7T-MC-TACH,Intra-subject variablility of prasugrel v clopidogrel,
B9E-MC-S232,Ph II Gem+Taxol+Epi/Breast,
I4C-MC-A001,Eval. the comb. of LY2875358 and erlotinib in lung cancer,
"15248",Renal study - PK study in subs with degree of renal impair,
I7H-MC-JNBA,FHD-Ph1-Met/EGFR Bispec Antib-dose escalation-Solid Tumors ,
H3S-MC-A011,SERM treatment in animal model of Alzheimer's Dis (Ferguson),
I5E-MC-B004,"2013-136 Differentiation of Axiron vs. other TTAs ",
I2R-MC-BIDV,BIL and Glargine Clamp-Meal Tolerance Type II DM,
H9H-MC-A024,New targets/immune mod. to enhance vaccine induced antitumor,
I7S-EW-HBEA,Single Ascending Dose,
I4L-MC-ABER,T2DM Ph3 BIV vs. Lantus,
"15673",Counter Regulatory Response to Hypoglycemia,
F3Z-JE-ITCE,URI-Citrate Japan Ph1 Trial,
I6E-AV-I002,AV-45-IIT-002: PET imaging evaluation of amyloid deposition,
H7T-MC-V040,Aggeguide will detect effect of Prasugrel on platelets ,
I4E-IE-W854,"Protocol CA225-008; A II Study of Paclitaxel, Carboplatin an",
I4E-IE-W921,Protocol CA225-103; BMS: #05033 - A II Study of a Combinatio,
H8O-MC-A006,Study of exendin-4 + glybenclamide on insulin secretion,
B3D-JE-A009,PTH Raloxifene Collagen CrossLinks in OVX Rabbit (Saito),
H9H-MC-A021,Disease progression in the SOD 1 G93A mouse model,
I6F-MC-A003,Effects of NOTCH pathway inhibitors in renal cell cancer,
I4D-MC-A001,Comb. EGFR and Chk 1 with/without irradiation in head & neck,
I4D-MC-A002,Antagonists / Ras/Aaf/MEKIERK pathway in hematologic malig.,
I7D-MC-SGAG,RBA-Relative Bioavailability Study ,
I3Y-MC-JPBW,Renal imp in NonCa,
I4D-MC-JTJO,DDI #1,
"15587",Drug Abuse Liability Study,
"15596",RBA ,
H8L-MC-IQCQ,U200 KwikPen Summative HF Study #2,
B9U-SE-9416,Lorabid vs. Cefaclor; Comparative Study in Acute,
"15658",DDI - DDP IV,
I4T-MC-JVDC,RANGE-Ph3-Ram+Docetaxel vs Placebo+Docetax-Bladder-2nd Ln,
I7Z-MC-FLAC,Phase 2 Dose Finding,
I7Z-JE-FLAD,Ph2 Japan,
I2V-MC-A003,Perivascular macrophages in modulating on on tumour regrowth,
H8L-MC-IQDB,Axiron Gen III Summative HF study,
H6L-MC-LFAY,Digoxin Interaction,
H9P-MC-LNBM,Depression Augmentation #1 NERI + SSRI,
"11320",D/D Interaction Study,
H9P-MC-LNDH,ADHD Open Label extension up to 5 years treatment,
F1J-MC-SAAI,DULOXETINE VS. PLACEBO IN PATIENTS WITH IRRITATIVE BPH,
H6Q-MC-S033,Ph II ENZ+Avastin in GBM,
H6D-MC-V002,Binding of radiolabeled cialis to PDE5,
B9E-KL-O491,A phase II study of Gemcitabine in advance stage MZL,
F1D-SR-B032,Greek lifestyle program Solutions for Wellness,
F1J-MC-X033,Effects of Duloxetine on Fear Conditioning in PTSD,
B9E-US-I161,Ph III Neo-adj brst AC f/b Gem or Cape +/- Avastin,
H8C-BD-LQBE,iGluR5: RBA + MDSS,
F1J-MC-X035,Dulox for central pain in MS,
"11570","GLP-FC restoration of 1st phase insulin, glucagon",
F3Z-BP-GVAD,INSULIN  LISPRO - INCIDENT OF SEVERE HYPOGLYCAEMIA,
F3Z-BP-GVAF,INSULIN LISPRO - BASAL INSULIN REQUIREMENTS,
F1D-MC-HGCP,COMPARISON OF D2 AND S2 RECEPTORS - OLANZAPINE VS CLOZAPINE,
B9E-MC-V248,Gem and Adenoviral Gene Therapy,
H3E-MC-V056,"Eval Pem Growth Inhibitory activity  w cis, doxu, gastric",
"10290",Arzoxifene BIoequivalence Study,
H7U-FW-IDBD,"10U Dose Equivalance",
F1J-MC-X012,Predicting Remission/Relief Painful Sysmptoms Depres Brain,
H6Q-MC-V005,Endothelial progenitor cells increased in cancer patients,
H6Q-MC-V007,"PKC biochemistry, structure studies",
H6Q-MC-V011,CLL and enzastaurin,
I1A-MC-BPAD,Multiple-Dose Safety Study in BPH Patients,
B4Z-US-X044,A Prospective Evaluation of the Effects of Atomoxetine,
F1D-BL-A130,"Eval of neuro parameters olz, cloz, arip, hald, ofc in rats",
"10427",JP PPAR-alpha/delta P-1 SDSS,
H9X-JE-GBCB,JP GLP-Fc P-I (SDSS),
B9R-JE-GDGJ,JP Pul HGH P-1 SDS/MDS,
H4S-BP-O068,Randomised Control Trial to compare theeffects of G-CSF,
B3D-MC-GHDF,Clinical Study of Colter Pen,
H7T-MC-V003,OnPar 1 Inactivation InVitro EX pts.,
I4R-MC-V002,FGFR inhibition in Biliary Tract Cancer,
H7T-MC-V039,Investigate discrepancy between ticagrelor&platelet inhibito,
I4E-IE-W801,Protocol CA206-001; A PHASE 1/2 STUDY OF BMS-908662 (XL281) ,
I4E-IE-W896,Protocol Med-PO2-06005; BiWeekly Cetuximab at Either 500 or ,
I1F-MC-RHBP,PS - PH3: Q2 Week Maintenance Therapy,
I5E-MC-B005,Seven-Year REMS Assessment ,
I4T-MC-B003,"2013-612:Treatment patterns/costs-Ramucirumab-Gastric-2nd Ln",
"16078",Hepatic,
I7E-AV-E018,"18F-AV-1451-EXIST-018",
H3E-MC-B021,"2014-787-3:PhysDecisionMaking&Attitudes-NSCLC-Maint-PtInterv",
"16221","Phase 3 Efficacy Study #1, Mild AD;  includes 2-yr Extension",
"16408",Ph II - Ram + Chemo - Gastric (mSC EC),
"16414",Ph III - Ramucirumab beyond progression - Gastric,
I8R-MC-IGBD,"Safety, PK/PD in Healthy Volunteers",
F1J-JE-DL05,Post-mark safe study Dulox f/long term use Japan pts Osteoa ,
I9D-MC-ROAA,SAD,
I5S-MC-EFJQ,Primary Prevention ,
"11695",Placeholder for olanzapine regional trials,
B7A-XB-O008,Teleophtalmology in Spain,
H4S-CA-O075,EASY MI-Rescue Study,
B5K-US-X030,Primary Oral Insulin Trial (POINT),
B3D-KL-B012,Forsteo PMS (Post Marketing Surveillace) in Korea,
H3E-US-I023,Ph 3 Trial of Pem vs Carbo/Pem in pts w/ adv NSCLC & PS 2,
"11791",Phase I/II CCRT wit Aliimta/Cis in UCC,
F1D-US-I041,A New Pharmacotherapy for Alcohol Dependence,
"11827",Simultaneous RCTx followed by 6 cycles Alimta/Cisplatin,
F1J-US-HMFU,Duloxetine in the Treatment of Chronic Daily Headache,
H8Y-EW-HBBJ,MTD Safety and Tolerability Study - Phase 1,
H6O-MC-S006,PET --Test/Retest of [11C]ABP-688 for mGlu5 target,
B3D-US-I003,Teriparatide in accelerating the healing of pelvic fractures,
"12073",VTE Prophylaxsis #3 (Knee),
F1J-MC-HMFZ,Pts w/MDD & Pain Symptoms Shown No Response to SSRI or SNRI,
I3V-MC-GLCA,SAD GLP-PEG 80 kDA,
B3D-CA-GHCP,PTH Pre launch CTNR,
"5999",Ph 3 Safety & Efficacy in Acute Ischemic Stroke,
H8I-EW-HQAA,"5-Ht1d/ssri - PET validation study",
H7U-MC-IDAB,"Dose Ranging Clamp, Pulmonary Insulin",
H3E-US-JMFC,Phase 1 ALIMTA - Pediatric Recurrent Solid Tumors,
H3E-MC-S009,"Phase 2 ALIMTA + Oxaliplatin, Second Line CRC",
B4G-JE-YI03,COMPARISON OF PMX+L-DOPA VS L-DOPA(INTENSIVE) IN PD,
B4G-JE-YI04,CLINICAL UTILITY OF PERMAX AND L-DOPA COMPAIRED WITH L-DOPA,
F1J-MC-SBBP,Patient Registry,
"6198",Pivotal trial for ART - I,
H7T-LC-TAAC,Effect of increasing gastric pH on absorption of CS-747 base,
H7C-LC-LMCG,MGlur prodrug - Renal,
B4G-PH-0001,PERGOLIDE IN THE TREATMENT OF PARKINSON'S DISEASE,
H7X-MC-JVAD,Ph II - Affinitak + Gemzar+ Carboplatin - NSCLC,
F1D-US-HGKE,Olanzapine IM to oral transition,
H6E-CA-O002,Triple Therapy with Actos,
F1D-UT-O153,Zyprexa Intra Muscular - outpatients,
B9E-MC-S288,Ph II - Gem+Docetaxel+Cis - 1st line - Ovary,
B5Q-LC-NBBK,NIZATIDINE: INVEST. OF POSS. DRUG INTERACTION WITH PIROXICAM,
F1J-US-X019,Open-label Dulox tx trial of dysthymic disorder in elderly,
H3E-MC-V119,Pem and oxal interaction in colon cancer cells:drug activity,
B9E-MC-V303,Breast cancer cell lines invitro resistant to Gemzar,
B9E-MC-V338,Exploratory study of Gemcitabine,
"10839",FHD for (Opra MU) future cmpd FC000075,
ZYY-MC-GCCN,Type 2 Diabetes Questionaire Study - Lilly Clinic,
H3E-SN-O018,Ph II Alimta as salvage ther for met NPC,
"10889",epidemiology of care of DR W/WO MO,
H3E-SE-O020,ALIMTA plus MTHF (Modufolin) - companion IIT to H3E-MC-S077,
H7T-MC-X001,Plavix and Simvastatin (Accumetrix Bates),
H3E-US-I013,PhI Topotecan with Alimta for Advanced Malignancies,
B9E-KL-O482,Randomized Trial of Neoadjuvant+Surgery vs Surgery+Adjuvant,
"11138",Enzastaurin in treatment of brain metastases from lung cance,
B4Z-US-X050,Long-term Tolerab/Safety of Atomox in Kids w/Fetal Alcohol,
H8O-MC-I004,Effects of Exen on Hyperlipidemia and Inflamation,
H8O-MC-I005,Strategies to Improve Long Term Islet Grft Surv.,
F1J-MC-I009,Effects of Dulox on Fear Conditioning in PTSD,
"8485","Ph II, ALIMTA + Taxane in Breast Cancer",
B5K-MC-IBHI,FR_TempAuthroizForUse(ATU)_Humulin U500,
I6E-AV-I049,AV-45-IIT-049: Detection of Disease-Related Changes in Choli,
I1F-MC-RHCF,Head to Head - ixekizumab vs adalimumab,
I8L-MC-IXAQ,URI-Biochaperone Ph3 Pediatrics,
I5S-MC-EFJY,Device Bridging  ,
I7E-AV-E036,AV-1451-EXIST-036,
I8B-MC-ITSH,Dose proportionality (LY vs. Humalog),
H8H-CD-LAHP,"QTc Study  (COL MIG-105) A randomized, double-blind, placebo",
B9E-MC-I076,HIGH DOSE CHEMOTHERAPY PLUS ASC TRANSPLANT W/ GEMCITABINE,
I9V-MC-IFBA,"SAD-Random,Double-blind,Placebo-Controlled,Single Ascending ",
"17032",AV-1451-EXIST-080,
F1J-MC-B060,Takotsubo Cardiomyopathy-Serotonin (NE) and (SNRI),
I4V-MC-JAIY,Global Combo Study to support JP registration,
J1D-MC-GZAA,FHD SAD/MAD HV,
H8K-MC-JZAK,"Phase 1b of LY573636 in ""Complete Phase 1"" combo study",
H8O-JE-GWCX,JP Exenatide TDP J-Phase 2,
I3D-MC-GICB, MR Antagonist SDSS (FHD),
H8Y-EW-HBBY,Gastric pH,
H8O-EW-GWDN,Optimisation study for TDP,
"12373","1-year obesity sibutramine add-on",
H9P-MC-LNDM,Peds reading disorder NERI-IV flex dosing vs. PBO (study #2),
H4S-SB-O079,Abciximab i.v. versus i.c. in STEMI trial (Abciximab-STEMI),
F1D-US-X312,Glucocorticoid Dysregulation & Metabolic in pts with Schiz.,
H9X-MC-GBCK,Phase 2 dose finding mono-therapy,
H4S-SB-O081,Doppler HITS Study,
H9P-EW-LNBU,CYP2C19 Study - Omeprazole as substrate,
H9P-EW-LNCG,Biopharm DDI Lorazepam,
B9E-IT-O508,"Ph II study, Adjuvant chemotherapy Cispaltin + Vinorelbine",
F3Z-CA-O071,Markers of Insulin Resistance in Women following Gest Diab,
"6606",Placeholder Zyprexa IIT,
B9E-UT-O299,Gemcitabine cisplatin followed by gemcitabine + XRT,
H8A-LC-LZAH,LY2062430 A Beta Antibody SIngle Dose Safety in AD Subjects,
B1Y-BP-HC58,FLOUXETINE V PLACEBO ON THE PROGNOSIS OF MUSC/SKELETAL PAIN,
B9E-KL-O308,Proteome change with Gemcitabine in Refractory Breast Cancer,
B9E-KL-O310,Changes of gene expression of breast cancer cell with Gem,
"6840",Spec Pops Renal impairment,
"6847",Ph III CHF,
F1J-LC-HMCG,QTc Study,
H6E-ME-S003,Zahos trial,
B9E-KL-S305,Pancreatic  Gemzar OS,
"6932",Roll-over Study 1452-RESI,
F3Z-FP-O056,Insulinotherapy in inaugural cetosis of Insulin dep. DM,
F1D-BP-O184,"Self Monitoring, Cognition and Social Functioning-Schizophre",
"7181",Ph II 5-FU/FA/Gem vs Gem/Cape in Met Colorectal Ca,
B9E-EW-S345,Gemcitabina and platinum with or without Vitamin supplements,
H3E-US-JMGC,Ph I/II Dose Escalating Bi-Wkly Gem/Alimta in Adv Cancer,
H6D-EW-LVFC,Pan European Observational Study on ED,
H6L-MC-LFAV,Donepezil Drug Interaction,
B1Y-EW-E004,FLUOXETINE/FLUOXETINE DIFFERING DOSAGE REGIMENS IN MDD,
"11350","Non Pivotal Phase II/III Emerging, Combo Therapy",
B9E-FR-O488,IIT-NSCLC B9E-FR-O488 (no drug administered),
H6D-MC-A009,Acute and chronic effects of tadalafil on bladder function,
H3E-MC-JMIE,RPh II Alimta +/- ZD6474 (Zectima) in 2nd line NSCLC,
F2X-LC-HIAB,LY210448:  ORAL MULTIPLE DOSE RANGING STUDY,
H6Q-MC-S062,Ph II Enz Imaging Trial,
I1F-MC-RHAF,"2 Part SDSS/MDSS of LY2439821 in patients with RA",
"11642",SDSS in Japanese Subjects,
F3Z-CA-IOBI,CONTINUOUS SUBCUTANEOUS INSULIN: LY275585 VS. HUM. R,
F1D-MC-A144,Effects of Atypical Antipsychotic Drugs on Hypothalamic Cont,
I2A-MC-GABC,POC/Phase 2 - LY2148936 in PMP Women,
I2C-MC-BABA,Single Dose Safety Study for LY2328382,
B3D-XB-GHDI,Pharmacokinetics of Teriparatide in severe renal dysfunction,
"11902",PET -- Kinetics/Dosimetry of [11C]GR103545 for OpRA Kappa,
H8A-MC-LZAN,LY2062430 Alzheimer's Disease Progression Study (II)),
"8497",GED-aPC Phase I ASA Interaction,
H8H-MC-LAIK,DDI - Lasmiditan/Metformin ,
"17273",Actemra RWE Study,
J1V-MC-RHMA,Appendix 2 of Master Protocol for Ixe,
I7E-AV-E074,"18F-AV-1451-EXIST-074",
J1L-MC-JZGI,Reduced PK Renal Impairment,
"1736",LY396623 - Efficacy in obese type 2 DM patients,
J2A-MC-GZGA,FHD SAD MAD HV,
B9U-US-AZDI,LORABID MIDDLE EAR FLUID CONCENTRATIONS,
J2G-OX-JZJD,LOXO-292 Hepatic Impairment Trial ,
J1X-MC-GZHC,MAD (SC) study in T2DM Pts,
H4S-MC-EWAD,"A PHASE II RANDOMIZED, OPEN LABEL ANGIOGRAPHIC TRIAL EVALUAT",
I1F-MC-RHCY,Open-label Extension Trial of Ixekizumab for patients with J,
J2G-OX-Y030,PhI-RET Inibitor+Osimertinib-NSCLC,
J2G-OX-Y038,PhI-RET Inhibitor-MTC,
F1J-BI-SBCG,High Study Conducted at BI,
H8C-EW-LQBN,iGluR5 Formulation Optimization,
I3H-MC-GAFA,POC-evaluate Gastrin once daily w/LY2428757 given once wkly,
"12767",ILPS vs. Glargine  Initiating step wise basa/bolus therapy ,
I2K-MC-ZZCF,Ambien Interaction,
"12830",Place Holder for Photosensitivity,
"13007",Naturalistic Trial,
H3E-MC-JMAK,PH II TRIAL OF LY231514 IV Q 21 DAYS IN PTS W/BLADDER CANCER,
"13024",IC Atomoxetine study in female vs male adolescents with ADHD,
B3D-US-GHDL,Skeletal Histomorphometry in Pts on Teriparatide/Zoledronate,
H7T-MC-TADO,Phase 3 Pediatric Indication,
I1V-JE-EIAD,JP CETP Inhibitor Phase 1,
H8K-MC-JZAO,SUMMIT-1 - PhIII - Tasisulam vs Paclitaxel 2nd-line Melanoma,
"13102",Ph III - ASAP + -2nd Line - Ovary,
B3D-XM-GHDP,Vertebral fracture prevalence patients with glucocorticoids ,
"13158",PoC/Ph2 fracture healing in Tibia,
H3M-LC-EQAD,LY294468: INTRAVENOUS BOLUS DOSE STUDY,
"7230",Placeholder trial Growth Hormone,
B5K-GH-O437,Impt transient intensive insulin on 1 phase resp to glu&arg,
B5K-GH-O438,Relat bet glu toler & 1 phase insu secret in 1deg relatives,
B9E-MC-V202,Effect of PTEN on sensitivity of LY188011 to pancreas cancer,
"7330",Cialis CTNR Placeholder,
F1D-AY-O196,Neuropsych function in patients treated with olanzapine,
B9E-US-X370,Ph II Cap + Gem for metastatic renal cell carcinoma,
"7404",Duloxetine vs Sertralina,
"7420",Duloxetine in Severe SUI - trial at urogynecologists,
"7487",Duloxetine vs Venaflaxine,
"7563",Gem-carbo in first line- (Algeciras),
"7572",Zyprexa RAIM (Area),
"7611",Methods Placeholder,
B3M-GH-V056,"Susceptibility test of H.flu, Step.pneu,M.cat to Cefaclor an",
"7623",Gemar in Ovary cancer,
F1D-PL-O205,Bipolar Mania Observational Study,
B9E-PL-O354,Gemcitabine plus Docetaxel in NSCLC Stage IIIb and IV,
F1D-MC-X228,"Rand., placebo-controlled, flex dose study of Olz in PTSD",
"7822",pth replacement in women with hypoparathyroidism,
H3S-ME-GGLC,CHOOSE Mexico,
I2K-MC-ZZAA,Single-Dose 5-hour Phase-Advance PSG in HV,
F3Z-MC-IOEY,IV ADMINISTRATION OF LISPRO VS REGULAR IN TYPE I DIABETES,
F3Z-FW-IOPL,U200 Bioequivalence,
B4Z-US-A010,Modeling a Putative Role for Oligodendrocytes in the Pathoph,
"12355",Obesity Biopharm study-placeholder for study 2,
"12365","2 yr diabetes add-on w/metformin & SU/LY vs Liragl & placebo",
"12366","2-year monotherapy with GLP-PEG 40",
F3Z-US-X031,Use of Mix 50/50 in gestational diabetes,
F1J-FR-B030,duloxetine prescription survey,
H8R-MC-HJAQ,Double-blind prevention in alcohol dependence Ph2,
F1J-US-X048,Combination Analgesic in HIV Assoc Painful Peripheral Neurop,
I3C-FW-BLAB,MDSS CRH-1 Effort 3,
F1J-SZ-O035,a combined fMRI/MRS and EEG study in major depression,
I2K-MC-ZZBU,PPI DDI,
I2K-MC-ZZBZ,Antidote,
I2K-MC-ZZCE,NSAID Interaction,
H2Q-MC-LZZX,XANOMELINE TTS VS PLACEBO:BEHAVIORAL EFFECTS IN ALZHEIMERS,
I4V-EW-B027,Nordic Obs Study for Olumiant in Rheumatoid Arthritis (NORA),
I1F-EW-B014,GPORWE Psoriasis UK Retrospective Obs study,
I3Y-MC-JPED,Ph4-Abemaciclib-mBC Active Symptom Monitoring,
J2G-OX-Y114,RET Inhibitor-NSCLC,
I6E-AV-I063,AV-45-IIT-063: Validation of bolus and constant infusion of ,
J2G-OX-Y174,RET Inhibitor,
J2G-OX-Y175,RET Inhibitor,
B1S-MC-EAAI,DOBUTAMINE:EFFECT VASCULAR RESISTANCE & COMPLIANCE,
J2G-OX-Y196,RET Inhibitor,
I7E-AV-E121,AV-1451-EXIST-121,
J3D-MC-FNAB,"Dose Finding of IL-17 SMI/PBO to eval efficacy, safety, PK ",
"18401",Placeholder MAD study,
"18402",RBA/ FE study,
H9X-MC-B022,"2020-9286: Clinical outcomes among elderly T2D patients on d",
B9E-MC-X278,EFFECTS OF DIURNAL HORMONAL RHYTHMS ON COLLAGEN,
F3Z-BP-O004,Timing of Administration & Frequency of Hypoglycemia in IDDM,
"1978",Drug Interaction,
B9R-AY-V006,"Can histidine-containing dipeptides, like carnosine, block",
I1R-JE-GLBJ,JP GRA1 Ph 2,
I2K-MC-ZZCI,Protactin Study,
H3S-JE-201J,EARLY PHASE II CLINICAL STUDY OF LY139481 HCL,
H3S-LC-GGGA,RALOXIFENE HCL: MULTIPLE DOSES UP TO 600 MG,
"13411",Food Effect #2,
I4E-US-S003,"REGISTRY Trial-""LOHRAN""-ERBITUX multi-center -H&N Carcinoma",
H3S-LC-GGHH,ABSOLUTE BIOAVAILABILITY OF RALOXIFENE HCL,
"13472",Lumbar Vertebra Study 1,
"13499",Multiple Myeloma Phase II/III,
H8Y-JE-HBDC,JP_mGlu2/3PDII_P-II monotherapy,
B7A-MC-V018,Protein Kinase C beta and eNOS Activation in Isolated,
B4Z-XM-B016,Cross-sectional study of patients participating in LYDM ,
"13708",Human 14C study,
H9B-MC-BCDW,Phase III/ Ankyolosing Spondylitis,
I4P-FW-GPFB,MAD GPR 40 Agonist 1,
H6D-MC-LVIV,A UT/Lilly Alliance IIT ambersentan and tadalafil in PAH,
"12937",ExNCR with human insulin,
F1D-MC-X315,Olz/Exenatide in Obese Adults w Bipolar,
H8V-MC-B002,Atomoxetine-Cardiovascular & Cerebrovascular Outcomes-(GPS),
F1D-AY-O332,Pharmacogenetics in First Episode Psychosis,
H3E-UT-O044,phase I stereostatic RT cis/pemetrexed,
B9E-US-X472,PhII Gemzar in tx of recurrent/persistent endometrial carcer,
F1D-JE-CSOS,JP Olanzapine PMS Study,
H3E-BP-JMIK,L-Ph2 - TS expression in NSCLC pts treated with pem/cis,
F1D-US-A158,Effects of Olanzapine in the Adolescent Rat Brain,
H8O-MC-X017,Eval of 4 peripheral paths for reduction of food  ,
B3D-US-X022,Bone Strength Assessment using CT Colonography Scan,
F1D-US-X319,Efficacy of Olz in Attenuating Weight Loss in Panreatic Canc,
"13162",Survey,
I4B-FW-GPCC,DDI Study,
H8O-MC-A024,ID key receptor populations for actions of Ex-4,
H7T-PH-B009,Effient (Prasugrel) Post-Marketing Surveillance Study,
B9E-SB-O016,"Phase I, Gemcitabine &  5-FU, Cholangiocellar Cancer",
"7841",Progression of microvascular diabetic complications DIMITRI,
"7864",Invitro - preclinical investigation on MTA,
"7874",IITs Bipolar-2003,
B9E-AG-O362,Gemcitabine intravesical in bladder CA,
F1D-TW-B017,Effectiveness and Safety of olanzapine in acute mania,
B9E-FP-S332,Therapeutic managt with RT of stade III & IV NSCLC patients,
"8025",IIT Placeholder for Korea,
B9F-MC-I010,PULSATILE INSULIN RELEASE IN PANCREAS/RENAL TRANSPLANT,
H7C-LC-LMCH,Definitive Food Effect Study,
"8126",CV Hypertension Study,
"8150",Zyprexa Use in High Doses,
B3D-MC-GHCN,Fracture Healing - Colles fracture,
B9E-US-X394,Ph II Gem Cisplatin & dexamethazone in Hodgkin Lymphoma,
F1J-MC-HMCX,Lilly's Emotional and Physical Symptoms of Depression,
"8307",Phase II Study NSCLC,
F1K-US-X002,Eff. of Xigris on exp. profile of monnuclear cells in sepsis,
H3E-US-S053,Phase 1 Alimta plus Oxaliplatin Dose Finding Study,
B9E-MC-S022,Gemcitabine + Piritrexim on Carbo/Tax - refractor Bladder Ca,
A1L-MC-X002,COMPARISON OF AVENTYL AND PLACEBO IN CHILDREN WITH ADHD,
B9E-MC-S050,Ph II Gem + Oxaliplatin in SCLC,
H4Y-MC-LJAY,Mild - 2 Migraine,
H4H-MC-I001,Theodore NIH monotherapy study,
H3Z-MC-JNAJ,Phase-I Combination Study:  LY295501 + Gemcitabine,
"2275",Oral Delivery Phase I - FHD,
F1D-MC-X064,"OLANZAPINE, RISPERIDONE AND BRAIN PHYSIOLOGY",
H4A-MC-XBAX,Oral Pilot Vaginal Candidiasis Study,
B9E-MC-X044,PHASE 1 STUDY OF GEMCITABINE AND CPT-11,
B9U-MC-AZDK,BIOEQUIVALENCE OF LORABID CHEWABLE TABLET TO SUSPENSION,
B9E-VI-JHMN,A Phase 2 Study of Gemcitabine in Biliary Cancer,
B9E-GH-O392,Phase II Study Gemzar & Cisplatin Treat Esophageal Carcinoma,
B4G-EW-LCCE,Parkinson / Neurogenic Bladder (Pilot Study),
B9E-US-X409,Ph II Gem/Irinotecan in metastatic renal cell carcinoma,
